Altium Designer Pick and Place Locations
C:\Users\amaslyczyk\Documents\general-use-boards\PCB_F2838_Node\Outputs\REV1.1\Pick Place\Pick Place for PCB_F2838_Node(REV1.1).csv

========================================================================================================================
File Design Information:

Date:       21/12/21
Time:       12:18
Revision:   f553a027cf994b251945c5461286fe2e9c2d752a
Variant:    REV1.1
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"R84","RCS04020000Z0ED","BottomLayer","0402","590.551","2185.039","90","VISHAY - RCS04020000Z0ED - SMD Chip Resistor, 0402 [1005 Metric], 0 ohm, RCS Series, 50 V, Thick Film, 200 mW"
"R85","RCS04020000Z0ED","BottomLayer","0402","547.244","2185.039","90","VISHAY - RCS04020000Z0ED - SMD Chip Resistor, 0402 [1005 Metric], 0 ohm, RCS Series, 50 V, Thick Film, 200 mW"
"R86","RCS04020000Z0ED","BottomLayer","0402","503.937","2185.039","90","VISHAY - RCS04020000Z0ED - SMD Chip Resistor, 0402 [1005 Metric], 0 ohm, RCS Series, 50 V, Thick Film, 200 mW"
"R87","RCS04020000Z0ED","BottomLayer","0402","464.567","2185.039","90","VISHAY - RCS04020000Z0ED - SMD Chip Resistor, 0402 [1005 Metric], 0 ohm, RCS Series, 50 V, Thick Film, 200 mW"
"R77","CRCW06031K00FKEA","TopLayer","RESC1608X09N(0603)","245.000","251.000","90","MD 1/10watt 1.0Kohms 1%"
"D7","TPD4E001QDBVRQ1","BottomLayer","FP-DBV0006A-IPC_C","811.024","2204.724","180","TVS DIODE 5.5V 16V SOT23-6"
"D8","TPD4E001QDBVRQ1","BottomLayer","FP-DBV0006A-IPC_C","236.220","2204.724","180","TVS DIODE 5.5V 16V SOT23-6"
"C95","C1608X5R1A226M080AC","BottomLayer","CAPC1608X09N(0603)","374.016","492.126","180","CAP CER 22UF 10V X5R 0603"
"C106","C1608X5R1A226M080AC","BottomLayer","CAPC1608X09N(0603)","340.000","202.000","0","CAP CER 22UF 10V X5R 0603"
"C47","GRM155R71C104JA88D","TopLayer","CAPC1005X03N(0402)","1082.677","937.008","270","CAP CER 0.1UF 16V X7R 0402"
"C109","C0603C105K3PACTU","BottomLayer","CAPC1608X09N(0603)","296.960","120.363","180","MLCC - SMD/SMT 25volts 1uF X5R 10%"
"C111","GRM188R61A225KE34D","BottomLayer","CAPC1608X09N(0603)","419.000","92.000","180","CAP CER 2.2UF 10V X5R 0603"
"C54","C0603C105K3PACTU","TopLayer","CAPC1608X09N(0603)","188.000","311.000","270","MLCC - SMD/SMT 25volts 1uF X5R 10%"
"C55","C0603C105K3PACTU","TopLayer","CAPC1608X09N(0603)","132.000","311.000","270","MLCC - SMD/SMT 25volts 1uF X5R 10%"
"C110","GRM155R71C104JA88D","BottomLayer","CAPC1005X03N(0402)","417.000","147.000","180","CAP CER 0.1UF 16V X7R 0402"
"C57","GRM155R71C104JA88D","BottomLayer","CAPC1005X03N(0402)","140.945","2204.724","90","CAP CER 0.1UF 16V X7R 0402"
"C56","GRM155R71C104JA88D","TopLayer","CAPC1005X03N(0402)","783.465","2185.039","90","CAP CER 0.1UF 16V X7R 0402"
"R97","CRCW040256R0JNED","BottomLayer","0402","960.630","897.638","270","RES SMD 56 OHM 5% 1/16W 0402"
"FB2","BKP2125HS600-T","BottomLayer","FP-BKP2125-IPC_C","803.150","909.449","270","TAIYO YUDEN - BKP2125HS600-T - Ferrite Bead, 0805 [2012 Metric], 60 ohm, 3 A, BKP Series, 0.025 ohm, ± 25%"
"FB3","BKP2125HS600-T","BottomLayer","FP-BKP2125-IPC_C","1015.748","2173.291","90","TAIYO YUDEN - BKP2125HS600-T - Ferrite Bead, 0805 [2012 Metric], 60 ohm, 3 A, BKP Series, 0.025 ohm, ± 25%"
"FB1","BKP2125HS600-T","TopLayer","FP-BKP2125-IPC_C","791.338","1641.732","180","TAIYO YUDEN - BKP2125HS600-T - Ferrite Bead, 0805 [2012 Metric], 60 ohm, 3 A, BKP Series, 0.025 ohm, ± 25%"
"C85","GRM155R71C104JA88D","BottomLayer","CAPC1005X03N(0402)","240.157","618.110","0","CAP CER 0.1UF 16V X7R 0402"
"C80","GRM155R71C104JA88D","BottomLayer","CAPC1005X03N(0402)","240.157","677.165","0","CAP CER 0.1UF 16V X7R 0402"
"C94","GRM155R71C104JA88D","BottomLayer","CAPC1005X03N(0402)","248.031","492.126","90","CAP CER 0.1UF 16V X7R 0402"
"C88","GRM155R71C104JA88D","BottomLayer","CAPC1005X03N(0402)","240.157","559.055","0","CAP CER 0.1UF 16V X7R 0402"
"C82","GRM155R71C104JA88D","BottomLayer","CAPC1005X03N(0402)","681.698","662.407","0","CAP CER 0.1UF 16V X7R 0402"
"C78","GRM155R71C104JA88D","BottomLayer","CAPC1005X03N(0402)","259.842","897.638","0","CAP CER 0.1UF 16V X7R 0402"
"C87","GRM155R71C104JA88D","BottomLayer","CAPC1005X03N(0402)","500.000","586.614","90","CAP CER 0.1UF 16V X7R 0402"
"C93","GRM155R71C104JA88D","BottomLayer","CAPC1005X03N(0402)","578.740","535.433","180","CAP CER 0.1UF 16V X7R 0402"
"C75","GRM155R71C104JA88D","BottomLayer","CAPC1005X03N(0402)","862.205","897.638","270","CAP CER 0.1UF 16V X7R 0402"
"C86","GRM155R71C104JA88D","BottomLayer","CAPC1005X03N(0402)","980.315","610.236","180","CAP CER 0.1UF 16V X7R 0402"
"C77","GRM155R71C104JA88D","BottomLayer","CAPC1005X03N(0402)","503.937","901.575","0","CAP CER 0.1UF 16V X7R 0402"
"C74","GRM155R71C104JA88D","BottomLayer","CAPC1005X03N(0402)","692.913","917.323","270","CAP CER 0.1UF 16V X7R 0402"
"C104","GRM155R71C104JA88D","BottomLayer","CAPC1005X03N(0402)","562.992","318.110","90","CAP CER 0.1UF 16V X7R 0402"
"C103","GRM155R71C104JA88D","BottomLayer","CAPC1005X03N(0402)","688.976","318.898","90","CAP CER 0.1UF 16V X7R 0402"
"C105","GRM155R71C104JA88D","BottomLayer","CAPC1005X03N(0402)","980.315","283.465","180","CAP CER 0.1UF 16V X7R 0402"
"C76","CL10X106MO8NRNC","BottomLayer","CAPC1608X09N(0603)","748.032","917.323","270","CAP CER 10UF 16V X6S 0603"
"C68","CL10X106MO8NRNC","BottomLayer","CAPC1608X09N(0603)","854.331","988.189","270","CAP CER 10UF 16V X6S 0603"
"C98","GRM155R71C104JA88D","BottomLayer","CAPC1005X03N(0402)","555.118","440.945","180","CAP CER 0.1UF 16V X7R 0402"
"C96","GRM155R71C104JA88D","BottomLayer","CAPC1005X03N(0402)","500.000","460.630","270","CAP CER 0.1UF 16V X7R 0402"
"C90","GRM155R71C104JA88D","BottomLayer","CAPC1005X03N(0402)","704.724","535.433","0","CAP CER 0.1UF 16V X7R 0402"
"C97","GRM155R71C104JA88D","BottomLayer","CAPC1005X03N(0402)","700.787","440.945","0","CAP CER 0.1UF 16V X7R 0402"
"C99","GRM155R71C104JA88D","BottomLayer","CAPC1005X03N(0402)","625.984","389.764","270","CAP CER 0.1UF 16V X7R 0402"
"C84","GRM155R71C104JA88D","BottomLayer","CAPC1005X03N(0402)","751.968","614.173","270","CAP CER 0.1UF 16V X7R 0402"
"C91","GRM155R71C104JA88D","BottomLayer","CAPC1005X03N(0402)","389.764","535.433","0","CAP CER 0.1UF 16V X7R 0402"
"C83","GRM155R71C104JA88D","BottomLayer","CAPC1005X03N(0402)","547.244","661.417","0","CAP CER 0.1UF 16V X7R 0402"
"C79","GRM155R71C104JA88D","BottomLayer","CAPC1005X03N(0402)","657.480","744.094","270","CAP CER 0.1UF 16V X7R 0402"
"C108","GRM188R61A225KE34D","BottomLayer","CAPC1608X09N(0603)","933.071","2240.157","0","CAP CER 2.2UF 10V X5R 0603"
"C107","GRM188R61A225KE34D","BottomLayer","CAPC1608X09N(0603)","1125.984","2098.425","180","CAP CER 2.2UF 10V X5R 0603"
"C89","GRM188R61A225KE34D","BottomLayer","CAPC1608X09N(0603)","992.126","531.496","180","CAP CER 2.2UF 10V X5R 0603"
"C24","GRM188R61A225KE34D","TopLayer","CAPC1608X09N(0603)","901.575","1641.732","180","CAP CER 2.2UF 10V X5R 0603"
"X8","32.768Khz_OSC_KX3211A0032.768000","BottomLayer","KX3211A0032.768000","212.598","263.779","270","SMD Crystal Oscillator 0.032768MHz 3.3V 15pF 4-Pin CSMD"
"U10","TPS3702CX33DDCT","TopLayer","FP-DDC0006A-IPC_A","1055.118","551.181","0","Processor Supervisor 3.3V 1 Active Low/Open Drain 6-Pin TSOT-23 T/R"
"U7","TMP236AQDBZTQ1","TopLayer","SOT23","1129.921","1122.047","0","TMP23x-Q1 Automotive Grade, High-Accuracy Analog Output Temperature Sensors"
"U2","TPS62410DRCR","TopLayer","DRC0010J_V_-_3vias","783.465","1909.449","0","TPS62410 2.25MHZ 2X800MA Dual St"
"U14","ICM-42688-P","BottomLayer","PQFN50P300X250X97-14N","157.480","456.756","180","Accelerometer and Gyroscope 6-Axis MEMS Motion Tracking Device Digital-OUT 14-Pin LGA T/R"
"U1","LT8619IMSE-5#PBF","TopLayer","SOP50P490X110-17N","259.842","1925.197","0","LT8619 - 60V, 1.2A Synchronous Monolithic Buck Regulator with 6µA Quiescent Current"
"U8","F28388DZWTS","TopLayer","FP-ZWT0337A-IPC_B_-_ESNACK","610.236","551.181","0","32-bit MCU with connectivity manager, 2x C28x+CLA CPU, 1.5 MB flash, FPU64, CLB, Ethernet, EtherCAT 337-NFBGA -40 to +125"
"R2","CRCW0402205KFKED","TopLayer","0402","881.890","2104.299","270","Res Thick Film 0402 205K Ohm 1% 1/16W ±100ppm/°C Molded SMD SMD Paper T/R"
"R16","RC0402FR-072KL","TopLayer","RESC1005X06N(0402)","992.126","1720.472","180","RES SMD 2K OHM 1% 1/16W 0402"
"R7","RC0603FR-07680RL","TopLayer","RESC1608X09N(0603)","1123.110","1957.835","270","RES SMD 680 OHM 1% 1/10W 0603"
"R9","CRCW0402340KFKED","TopLayer","0402","1082.677","1822.835","90","Res Thick Film 0402 340K Ohm 1% 1/16W ±100ppm/°C Molded SMD SMD Paper T/R"
"R6","RC0402FR-0710KL","TopLayer","RESC1005X06N(0402)","669.291","2035.433","180","RES SMD 10K OHM 1% 1/16W 0402"
"R4","CRCW040222K0JNED","TopLayer","0402","665.354","2074.803","180","Res Thick Film 0402 22K Ohm 5% 1/16W ±200ppm/°C Molded SMD SMD Paper T/R"
"R17","RC0603JR-070RL","TopLayer","RESC1608X09N(0603)","893.701","1708.661","0","RES SMD 0 OHM JUMPER 1/10W 0603"
"R10","ERJ-2RKF2002X","TopLayer","0402","295.276","1807.087","180","RES SMD 20K OHM 1% 1/10W 0402"
"R3","RC0603FR-071ML","TopLayer","RESC1608X09N(0603)","263.779","2070.866","90","RES SMD 1M OHM 1% 1/10W 0603"
"R12","RC0603JR-070RL","TopLayer","RESC1608X09N(0603)","530.402","1769.795","90","RES SMD 0 OHM JUMPER 1/10W 0603"
"R8","RC0603JR-070RL","TopLayer","RESC1608X09N(0603)","472.441","1854.331","0","RES SMD 0 OHM JUMPER 1/10W 0603"
"L1","XGL4030-472MEC","TopLayer","FP-XGL4030-472MEC-MFG","543.307","2047.244","90","Inductor Power Shielded Wirewound 4.7uH 20% 1MHz Composite 6.6A 31.5mOhm DCR Automotive T/R"
"C101","CC0402KRX7R9BB103","BottomLayer","CAPC1005X03N(0402)","220.000","357.000","180","CAP CER 10000PF 50V X7R 0402"
"C102","GRM188R61A225KE34D","BottomLayer","CAPC1608X09N(0603)","129.921","318.897","90","CAP CER 2.2UF 10V X5R 0603"
"C100","GRM155R71C104JA88D","BottomLayer","CAPC1005X03N(0402)","220.000","387.000","180","CAP CER 0.1UF 16V X7R 0402"
"C15","GRM155R71C104JA88D","TopLayer","CAPC1005X03N(0402)","779.528","2090.551","180","CAP CER 0.1UF 16V X7R 0402"
"C19","C1608X5R1A226M080AC","TopLayer","CAPC1608X09N(0603)","582.677","1917.323","0","CAP CER 22UF 10V X5R 0603"
"C20","GRM155R71C104JA88D","TopLayer","CAPC1005X03N(0402)","582.787","1870.189","0","CAP CER 0.1UF 16V X7R 0402"
"C21","C1608X5R1A226M080AC","TopLayer","CAPC1608X09N(0603)","1129.921","1826.772","90","CAP CER 22UF 10V X5R 0603"
"C18","C0603C105K3PACTU","TopLayer","CAPC1608X09N(0603)","472.441","1921.260","180","MLCC - SMD/SMT 25volts 1uF X5R 10%"
"C17","CL10B104KC8NNNC","TopLayer","CAPC1608X09N(0603)","433.071","2003.937","270","CAP CER 0.1UF 100V X7R 0603"
"C11","C1608X5R1A226M080AC","TopLayer","CAPC1608X09N(0603)","346.457","2102.362","0","CAP CER 22UF 10V X5R 0603"
"C16","C0603C105K3PACTU","TopLayer","CAPC1608X09N(0603)","346.457","2051.181","0","MLCC - SMD/SMT 25volts 1uF X5R 10%"
"C12","CL10B104KC8NNNC","TopLayer","CAPC1608X09N(0603)","79.000","1967.000","90","CAP CER 0.1UF 100V X7R 0603"
"C9","C3216X7S2A225K160AB","BottomLayer","CAPC3216X16N(1206)","103.000","2021.000","90","CAP CER 2.2UF 100V X7S 1206"
"C14","CL10B104KC8NNNC","TopLayer","CAPC1608X09N(0603)","157.480","2059.055","90","CAP CER 0.1UF 100V X7R 0603"
"X6","MTH_2.5MM","TopLayer","MTH-M2.5mm","1102.362","98.425","0",""
"X3","MTH_2.5MM","TopLayer","MTH-M2.5mm","1043.307","1574.803","0",""
"X5","MTH_2.5MM","TopLayer","MTH-M2.5mm","98.425","98.425","0",""
"J2","QSH-030-01-F-D-A-K-TR","BottomLayer","FP-QSH-030-01-F-D-A-K-TR-MFG","600.394","1929.134","180","Conn Micro High Speed Socket Strip SKT 60 POS 0.5mm Solder ST SMD Automotive T/R"
